Nuts_Sample_Code,Project,Sample Date,Transect,Station,Latitude,Longitude,DepthorPressure (m),NO3 (um),NO2 (um)
032615NH01,NH,26-Mar-15,Newport Hydrographic,NH01,44.6517,-124.1,0,0.1426,0.1007
032615NH03,NH,26-Mar-15,Newport Hydrographic,NH03,44.6517,-124.13,0,1.3709,0.1046
040715NH01,NH,07-Apr-15,Newport Hydrographic,NH01,44.6517,-124.1,0,0.4074,0.1299
040715NH03,NH,07-Apr-15,Newport Hydrographic,NH03,44.6517,-124.13,0,0.0778,0.049
042715NH01,Ship of Opportunity,27-Apr-15,Newport Hydrographic,NH01,44.6517,-124.1,0,0.0003,0.0512
042715NH03,Ship of Opportunity,27-Apr-15,Newport Hydrographic,NH03,44.6517,-124.13,0,0.0465,0.0434
042715NH03,Ship of Opportunity,27-Apr-15,Newport Hydrographic,NH03,44.6517,-124.13,10,0.666,0.0281
051915NH01,NH,19-May-15,Newport Hydrographic,NH01,44.6517,-124.1,0,5.8559,0.2878
051915NH03,NH,19-May-15,Newport Hydrographic,NH03,44.6517,-124.13,0,6.5469,0.2461
061615NH03,NH,16-Jun-15,Newport Hydrographic,NH03,44.6517,-124.13,0,24.9996,0.2371
061615NH01,NH,16-Jun-15,Newport Hydrographic,NH01,44.6517,-124.1,0,24.78,0.3076
071515NH03,NH,15-Jul-15,Newport Hydrographic,NH03,44.6517,-124.13,0,0.2658,0.0346
072615NH01,NH,26-Jul-15,Newport Hydrographic,NH01,44.6517,-124.1,0,0.2651,0.0223
072615NH03,NH,26-Jul-15,Newport Hydrographic,NH03,44.6517,-124.13,0,0,0.0603
081015NH01,NH,10-Aug-15,Newport Hydrographic,NH01,44.6517,-124.1,0,0.7306,0.1924
081015NH03,NH,10-Aug-15,Newport Hydrographic,NH03,44.6517,-124.13,0,0.8354,0.1886
082615NH03,Ship of Opportunity,26-Aug-15,Newport Hydrographic,NH03,44.6517,-124.5283,0,5.7478,0.3744
082615NH01,Ship of Opportunity,26-Aug-15,Newport Hydrographic,NH01,44.6517,-124.1,0,4.8,0.3585
092915NH01,NH,29-Sep-15,Newport Hydrographic,NH01,44.6517,-124.1,0,8.9135,0.367
092915NH03,NH,29-Sep-15,Newport Hydrographic,NH03,44.6517,-124.13,0,7.5303,0.3071
100715NH01,Ship of Opportunity,07-Oct-15,Newport Hydrographic,NH01,44.6517,-124.1,1,7.138,0.3372
100715NH01,Ship of Opportunity,07-Oct-15,Newport Hydrographic,NH01,44.6517,-124.1,3.5,7.2787,0.3161
100715NH01,Ship of Opportunity,07-Oct-15,Newport Hydrographic,NH01,44.6517,-124.1,10,8.3182,0.3332
100715NH01,Ship of Opportunity,07-Oct-15,Newport Hydrographic,NH01,44.6517,-124.1,30,11.4886,0.4153
100715NH03,Ship of Opportunity,07-Oct-15,Newport Hydrographic,NH03,44.6517,-124.13,1,6.5126,0.2774
100715NH03,Ship of Opportunity,07-Oct-15,Newport Hydrographic,NH03,44.6517,-124.13,45,21.1081,0.449
101315NH01,Ship of Opportunity,13-Oct-15,Newport Hydrographic,NH01,44.6517,-124.1,0,0.6219,0.1019
101315NH03,Ship of Opportunity,13-Oct-15,Newport Hydrographic,NH03,44.6517,-124.13,10,1.5578,0.1522
101315NH03,Ship of Opportunity,13-Oct-15,Newport Hydrographic,NH03,44.6517,-124.13,0,0.2726,0.0527
101315NH01,Ship of Opportunity,13-Oct-15,Newport Hydrographic,NH01,44.6517,-124.1,8,0.6333,0.1561
101315NH03,Ship of Opportunity,13-Oct-15,Newport Hydrographic,NH03,44.6517,-124.13,45,15.6878,0.4461
101315NH01,Ship of Opportunity,13-Oct-15,Newport Hydrographic,NH01,44.6517,-124.1,23,1.8663,0.1677
110315NH01,Ship of Opportunity,03-Nov-15,Newport Hydrographic,NH01,44.6517,-124.1,0,1.95,0.1949
110315NH03,Ship of Opportunity,03-Nov-15,Newport Hydrographic,NH03,44.6517,-124.13,0,1.7314,0.1898
010816NH01,NH,08-Jan-16,Newport Hydrographic,NH01,44.6517,-124.1,0,4.6478,0.469
010816NH03,NH,08-Jan-16,Newport Hydrographic,NH03,44.6517,-124.13,0,4.1659,0.464
021616NH01,Ship of Opportunity,16-Feb-16,Newport Hydrographic,NH01,44.6517,-124.1,10,3.3339,0.2527
021616NH01,Ship of Opportunity,16-Feb-16,Newport Hydrographic,NH01,44.6517,-124.1,23,2.3402,0.2869
021616NH01,Ship of Opportunity,16-Feb-16,Newport Hydrographic,NH01,44.6517,-124.1,10,3.3339,0.2527
021616NH01,Ship of Opportunity,16-Feb-16,Newport Hydrographic,NH01,44.6517,-124.1,2,3.7483,0.3318
021616NH03,Ship of Opportunity,16-Feb-16,Newport Hydrographic,NH03,44.6517,-124.13,45,3.2752,0.3101
021616NH03,Ship of Opportunity,16-Feb-16,Newport Hydrographic,NH03,44.6517,-124.13,10,2.7631,0.2901
